Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,TotalValue
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,1999,1999,1000 ha,23668,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2000,2000,1000 ha,23669,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2001,2001,1000 ha,23595,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2002,2002,1000 ha,23656,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2003,2003,1000 ha,23495,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2004,2004,1000 ha,23557,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2005,2005,1000 ha,23523,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2006,2006,1000 ha,23627,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2007,2007,1000 ha,23627,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2008,2008,1000 ha,23517,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2009,2009,1000 ha,23452,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2010,2010,1000 ha,23579,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2011,2011,1000 ha,23452,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2012,2012,1000 ha,23501,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2013,2013,1000 ha,23499,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2014,2014,1000 ha,23451.6,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2015,2015,1000 ha,23432.6,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2016,2016,1000 ha,23385.8,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2017,2017,1000 ha,23452,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2018,2018,1000 ha,23452,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2019,2019,1000 ha,23452,I,Imputed value,
RL,Land Use,887,Yemen,5110,Area,6602,Agriculture,2020,2020,1000 ha,23452,I,Imputed value,